0 49
45 46 4
4 13 14
33 38 8
24 40 15
14 37 3
7 16 8
20 46 4
23 49 16
24 34 2
47 49 7
40 49 15
35 42 10
38 44 18
38 41 1
38 48 10
30 42 4
0 4 19
13 34 5
33 49 11
2 41 14
26 44 14
9 31 11
35 39 9
48 49 8
7 12 13
3 41 9
25 46 13
34 47 10
42 44 9
17 41 2
15 45 8
42 46 5
13 45 3
40 41 8
19 48 18
22 43 10
21 40 8
0 4 15
21 39 1
46 49 20
22 37 16
46 49 4
36 49 18
27 41 2
32 36 10
26 41 14
24 48 16
19 35 12
26 29 15
25 45 12
30 44 19
22 25 6
7 31 18
18 30 4
13 23 6
20 27 8
22 25 10
41 42 16
34 36 14
16 41 6
30 34 6
20 43 12
35 43 12
26 48 9
34 35 18
4 21 11
46 49 1
35 37 15
22 37 4
14 40 20
4 30 2
1 34 11
26 27 10
46 48 13
38 46 16
25 26 13
31 42 16
36 41 14
39 46 17
34 47 3
39 49 19
26 28 7
16 30 1
40 47 12
25 40 8
27 40 5
12 26 15
42 45 13
44 46 14
23 24 13
31 35 14
41 42 12
2 17 7
35 42 2
0 1 7
1 2 15
2 3 12
3 7 8
7 9 6
9 14 8
14 15 17
15 18 18
18 19 12
19 20 1
20 22 12
22 32 16
32 33 3
